Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Development Initiatives,Private,Secured/Won,11/8/2024,Dollor,2671.231463,23810.26116,ORE-Thematic,ACT-A/COVAX Pillar 2 - Therapeutics,Education,Emergency/HAC,,Natcom c,65455.36365,,,Afghanistan,,,,65038.21584,7722932,Central Government,UNICEF NatCom/CO/Division,,GEORGIA CO,MENARO,Tajikistan,,,NatCom,11/8/2024,GEORGIA CO,African Development Bank (AfDB),AFG,Afghanistan,Natcom c,EU,Other Resources Emergency,Health,R2,Connecting,ROSA,2022,Public
Humanitarian Funding,Private,Negotiating/Contracting,6/22/2024,Dollor,39884.95412,5298.989184,ORE-Thematic,Nutrition and HIV,Education,Ukraine Response,,Natcom d,81396.19968,,,Albania,,,,47000.59487,11159000,University/Education Org.,Private Sector,,SENEGAL CO,EAPRO,Armenia,,,ECARO,6/22/2024,TURKIYE NATCOM,African Development Bank (AfDB),ALB,Albania,Natcom d,EU,Other Resources Regular,Health,R3,Protecting,ECA,2022,Public
Emergency Response,Public,Negotiating/Contracting,4/24/2024,Dollor,38158.25437,47629.58632,ORE-Thematic,Cross-sectoral Early Childhood Development,Education,HAC-ECARO,,ECHO,84119.99735,,,Algeria,,,,47620.66228,17452391,Corporate,Private Sector,,MOLDOVA CO,ROSA,Cyprus,,,HQ,4/24/2024,GEORGIA CO,Unilever,DZA,Algeria,ECHO,Bilateral,Other Resources Regular,CP,R4,Including,MENA,2022,Public
Global Thematic Programs,Private,Negotiating/Contracting,8/16/2024,Dollor,34053.90774,29267.71379,ORE Non-Thematic,Emergencies,Child Protection,HAC-ECARO,,EU ECHO,93948.13532,,,Andorra,,,,51415.8562,27548884,Sport Associations,Public Sector,,UKRAINE CO,NatCom,Japan,,,ESARO,8/16/2024,BULGARIA CO,Bureau for Humanitarian Assistance,AND,Andorra,EU ECHO,Bilateral,Other Resources Emergency,SP,R2,Including,ECA,2024,Public
Innovation and Research Grants,Public,Negotiating/Contracting,3/7/2024,Dollor,82445.55971,70163.84694,ORE Non-Thematic,Social exclusion – data and evidence,Health,HAC-STATE OF PALESTINE,,Natcom A,97279.47813,,,Angola,,,,74329.30323,2671857,Sport Associations,Public Sector,,TURKIYE NATCOM,EAPRO,Armenia,,,HQ,3/7/2024,MOLDOVA CO,World Bank - Washington D.C.,AGO,Angola,Natcom A,Private,Other Resources Regular,Education,R5,Connecting,SSA,2023,Public
Global Thematic Programs,Private,Initial Meetings,4/18/2024,Dollor,8816.729106,37470.58808,ORR Non-Thematic,Justice for children,Education,Emergency/HAC,,G,85200.8392,,,Anguilla,,,,40153.24004,33261879,Multi-Stakeholder Partnership,Public Sector,,BULGARIA CO,HQ,Armenia,,,ECARO,4/18/2024,UZBEKISTAN CO,The United Kingdom,AIA,Anguilla,G,Private,Other Resources Regular,WASH,R5,Connecting,LACRO,2023,Public
Global Thematic Programs,Private,Negotiating/Contracting,11/14/2024,Dollor,82335.10272,36860.32885,ORE-Thematic,Special Purpose,Advocacy,HAC-STATE OF PALESTINE,,G,5940.675451,,,Antigua and Barbuda,,,,24930.55963,4716530,UN Agency/International Agency,Private Sector,,KOSOVO CO,MENARO,United States,,,NatCom,11/14/2024,ROMANIA CO,Unilever,ATG,Antigua and Barbuda,G,Bilateral,Other Resources Emergency,SP,R2,Learning,LACRO,2024,Public
Humanitarian Funding,Private,Secured/Won,10/31/2024,Dollor,13734.66281,38166.0005,ORR Non-Thematic,Nutrition – Overweight & Obesity,Advocacy,HAC-ECARO,,EU ECHO,69723.89289,,,Argentina,,,,62363.82271,8740171,Account Category,Private Sector,,INDIA CO,ECARO,Netherlands,,,HQ,10/31/2024,ARMENIA CO,European Investment Bank,ARG,Argentina,EU ECHO,Private,Other Resources Regular,Education,R5,Thriving,LACRO,2023,Public
Emergency Response,Public,Initial Meetings,7/23/2024,Dollor,8787.864618,74814.25669,Revenue Type,Nutrition and HIV,Education,HAC-ECARO,,EU ECHO,59110.63626,,,Armenia,,,,53851.75207,15971168,Multi-Stakeholder Partnership,Private Sector,,NETHERLANDS NATCOM,NatCom,Belarus,,,NatCom,7/23/2024,TURKIYE NATCOM,Bureau for Humanitarian Assistance,ARM,Armenia,EU ECHO,Bilateral,Other Resources Emergency,WASH,R1,Including,ECA,2024,Public
Innovation and Research Grants,Public,Secured/Won,8/13/2024,Dollor,22140.97245,91595.30502,ORR Non-Thematic,Child Protection – General,Advocacy,Ukraine Response,,G,69185.6948,,,Australia,,,,56695.77781,15659592,Country Office,Public Sector,,BELARUS CO,MENARO,Belarus,,,MENARO,8/13/2024,SERBIA CO,Unilever,AUS,Australia,G,Bilateral,Other Resources Regular,WASH,R1,Thriving,EAPRO,2024,Public
